"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2073","Median PI","92828.492"
"Iran (Islamic Republic of)","2073","Upper 80 PI","102990.468"
"Iran (Islamic Republic of)","2073","Lower 80 PI","83405.651"
"Iran (Islamic Republic of)","2073","Upper 95 PI","109148.176"
"Iran (Islamic Republic of)","2073","Lower 95 PI","77967.623"
"Iran (Islamic Republic of)","2072","Medium","93325.847"
"Iran (Islamic Republic of)","2072","High","112400.469"
"Iran (Islamic Republic of)","2072","Low","77091.141"
"Iran (Islamic Republic of)","2072","Constant fertility","93570.145"
"Iran (Islamic Republic of)","2072","Instant replacement","110413.655"
"Iran (Islamic Republic of)","2072","Zero migration","96077.346"
"Iran (Islamic Republic of)","2072","Constant mortality","80617.817"
"Iran (Islamic Republic of)","2072","No change","80848.012"
"Iran (Islamic Republic of)","2072","Momentum","100153.845"
"Iran (Islamic Republic of)","2072","Instant replacement zero migration","113431.981"
"Iran (Islamic Republic of)","2072","Median PI","93325.847"
"Iran (Islamic Republic of)","2072","Upper 80 PI","103277.161"
"Iran (Islamic Republic of)","2072","Lower 80 PI","84074.88"
"Iran (Islamic Republic of)","2072","Upper 95 PI","109271.774"
"Iran (Islamic Republic of)","2072","Lower 95 PI","78775.046"
"Iran (Islamic Republic of)","2071","Medium","93816.003"
"Iran (Islamic Republic of)","2071","High","112308.709"
"Iran (Islamic Republic of)","2071","Low","78000.261"
"Iran (Islamic Republic of)","2071","Constant fertility","94058.498"
"Iran (Islamic Republic of)","2071","Instant replacement","110439.05"
"Iran (Islamic Republic of)","2071","Zero migration","96505.583"
"Iran (Islamic Republic of)","2071","Constant mortality","81296.628"
"Iran (Islamic Republic of)","2071","No change","81525.417"
"Iran (Islamic Republic of)","2071","Momentum","100329.016"
"Iran (Islamic Republic of)","2071","Instant replacement zero migration","113383.836"
"Iran (Islamic Republic of)","2071","Median PI","93816.003"
"Iran (Islamic Republic of)","2071","Upper 80 PI","103448.71"
"Iran (Islamic Republic of)","2071","Lower 80 PI","84758.459"
"Iran (Islamic Republic of)","2071","Upper 95 PI","109284.512"
"Iran (Islamic Republic of)","2071","Lower 95 PI","79588.563"
"Iran (Islamic Republic of)","2070","Medium","94297.926"
"Iran (Islamic Republic of)","2070","High","112209.569"
"Iran (Islamic Republic of)","2070","Low","78897.975"
"Iran (Islamic Republic of)","2070","Constant fertility","94532.072"
"Iran (Islamic Republic of)","2070","Instant replacement","110459.973"
"Iran (Islamic Republic of)","2070","Zero migration","96925.522"
"Iran (Islamic Republic of)","2070","Constant mortality","81990.529"
"Iran (Islamic Republic of)","2070","No change","82211.488"
"Iran (Islamic Republic of)","2070","Momentum","100521.598"
"Iran (Islamic Republic of)","2070","Instant replacement zero migration","113331.382"
"Iran (Islamic Republic of)","2070","Median PI","94297.926"
"Iran (Islamic Republic of)","2070","Upper 80 PI","103603.215"
"Iran (Islamic Republic of)","2070","Lower 80 PI","85421.886"
"Iran (Islamic Republic of)","2070","Upper 95 PI","109228.332"
"Iran (Islamic Republic of)","2070","Lower 95 PI","80429.868"
"Iran (Islamic Republic of)","2069","Medium","94770.145"
"Iran (Islamic Republic of)","2069","High","112102.451"
"Iran (Islamic Republic of)","2069","Low","79782.234"
"Iran (Islamic Republic of)","2069","Constant fertility","94988.921"
"Iran (Islamic Republic of)","2069","Instant replacement","110473.58"
"Iran (Islamic Republic of)","2069","Zero migration","97335.779"
"Iran (Islamic Republic of)","2069","Constant mortality","82697.624"
"Iran (Islamic Republic of)","2069","No change","82903.858"
"Iran (Islamic Republic of)","2069","Momentum","100728.447"
"Iran (Islamic Republic of)","2069","Instant replacement zero migration","113271.844"
"Iran (Islamic Republic of)","2069","Median PI","94770.146"
"Iran (Islamic Republic of)","2069","Upper 80 PI","103859.448"
"Iran (Islamic Republic of)","2069","Lower 80 PI","86103.479"
"Iran (Islamic Republic of)","2069","Upper 95 PI","109311.91"
"Iran (Islamic Republic of)","2069","Lower 95 PI","81326.786"
"Iran (Islamic Republic of)","2068","Medium","95229.808"
"Iran (Islamic Republic of)","2068","High","111984.954"
"Iran (Islamic Republic of)","2068","Low","80650.318"
"Iran (Islamic Republic of)","2068","Constant fertility","95428.063"
"Iran (Islamic Republic of)","2068","Instant replacement","110477.768"
"Iran (Islamic Republic of)","2068","Zero migration","97733.503"
"Iran (Islamic Republic of)","2068","Constant mortality","83413.427"
"Iran (Islamic Republic of)","2068","No change","83599.875"
"Iran (Islamic Republic of)","2068","Momentum","100945.933"
"Iran (Islamic Republic of)","2068","Instant replacement zero migration","113203.175"
"Iran (Islamic Republic of)","2068","Median PI","95229.808"
"Iran (Islamic Republic of)","2068","Upper 80 PI","104111.242"
"Iran (Islamic Republic of)","2068","Lower 80 PI","86750.848"
"Iran (Islamic Republic of)","2068","Upper 95 PI","109325.269"
"Iran (Islamic Republic of)","2068","Lower 95 PI","82263.947"
"Iran (Islamic Republic of)","2067","Medium","95675.25"
"Iran (Islamic Republic of)","2067","High","111856.345"
"Iran (Islamic Republic of)","2067","Low","81500.481"
"Iran (Islamic Republic of)","2067","Constant fertility","95849.039"
"Iran (Islamic Republic of)","2067","Instant replacement","110470.713"
"Iran (Islamic Republic of)","2067","Zero migration","98117.057"
"Iran (Islamic Republic of)","2067","Constant mortality","84133.886"
"Iran (Islamic Republic of)","2067","No change","84296.681"
"Iran (Islamic Republic of)","2067","Momentum","101169.97"
"Iran (Islamic Republic of)","2067","Instant replacement zero migration","113123.603"
"Iran (Islamic Republic of)","2067","Median PI","95675.25"
"Iran (Islamic Republic of)","2067","Upper 80 PI","104291.66"
"Iran (Islamic Republic of)","2067","Lower 80 PI","87384.575"
"Iran (Islamic Republic of)","2067","Upper 95 PI","109181.015"
"Iran (Islamic Republic of)","2067","Lower 95 PI","83111.381"
"Iran (Islamic Republic of)","2066","Medium","96104.921"
"Iran (Islamic Republic of)","2066","High","111716.448"
"Iran (Islamic Republic of)","2066","Low","82330.804"
"Iran (Islamic Republic of)","2066","Constant fertility","96250.618"
"Iran (Islamic Republic of)","2066","Instant replacement","110449.754"
"Iran (Islamic Republic of)","2066","Zero migration","98484.962"
"Iran (Islamic Republic of)","2066","Constant mortality","84855.663"
"Iran (Islamic Republic of)","2066","No change","84991.25"
"Iran (Islamic Republic of)","2066","Momentum","101396.252"
"Iran (Islamic Republic of)","2066","Instant replacement zero migration","113030.549"
"Iran (Islamic Republic of)","2066","Median PI","96104.921"
"Iran (Islamic Republic of)","2066","Upper 80 PI","104453.032"
"Iran (Islamic Republic of)","2066","Lower 80 PI","88028.54"
"Iran (Islamic Republic of)","2066","Upper 95 PI","109138.573"
"Iran (Islamic Republic of)","2066","Lower 95 PI","83860.411"
"Iran (Islamic Republic of)","2065","Medium","96516.348"
"Iran (Islamic Republic of)","2065","High","111563.834"
"Iran (Islamic Republic of)","2065","Low","83138.78"
"Iran (Islamic Republic of)","2065","Constant fertility","96631.811"
"Iran (Islamic Republic of)","2065","Instant replacement","110412.481"
"Iran (Islamic Republic of)","2065","Zero migration","98834.771"
"Iran (Islamic Republic of)","2065","Constant mortality","85574.201"
"Iran (Islamic Republic of)","2065","No change","85680.462"
"Iran (Islamic Republic of)","2065","Momentum","101620.391"
"Iran (Islamic Republic of)","2065","Instant replacement zero migration","112921.659"
"Iran (Islamic Republic of)","2065","Median PI","96516.348"
"Iran (Islamic Republic of)","2065","Upper 80 PI","104598.856"
"Iran (Islamic Republic of)","2065","Lower 80 PI","88663.228"
"Iran (Islamic Republic of)","2065","Upper 95 PI","109118.153"
"Iran (Islamic Republic of)","2065","Lower 95 PI","84584.259"
"Iran (Islamic Republic of)","2064","Medium","96905.875"
"Iran (Islamic Republic of)","2064","High","111395.596"
"Iran (Islamic Republic of)","2064","Low","83920.98"
"Iran (Islamic Republic of)","2064","Constant fertility","96991.348"
"Iran (Islamic Republic of)","2064","Instant replacement","110356.251"
"Iran (Islamic Republic of)","2064","Zero migration","99162.833"
"Iran (Islamic Republic of)","2064","Constant mortality","86283.967"
"Iran (Islamic Republic of)","2064","No change","86361.13"
"Iran (Islamic Republic of)","2064","Momentum","101837.967"
"Iran (Islamic Republic of)","2064","Instant replacement zero migration","112794.345"
"Iran (Islamic Republic of)","2064","Median PI","96905.875"
"Iran (Islamic Republic of)","2064","Upper 80 PI","104752.219"
"Iran (Islamic Republic of)","2064","Lower 80 PI","89271.04"
"Iran (Islamic Republic of)","2064","Upper 95 PI","109061.685"
"Iran (Islamic Republic of)","2064","Lower 95 PI","85288.483"
"Iran (Islamic Republic of)","2063","Medium","97270.729"
"Iran (Islamic Republic of)","2063","High","111210.045"
"Iran (Islamic Republic of)","2063","Low","84674.493"
"Iran (Islamic Republic of)","2063","Constant fertility","97327.664"
"Iran (Islamic Republic of)","2063","Instant replacement","110278.431"
"Iran (Islamic Republic of)","2063","Zero migration","99466.403"
"Iran (Islamic Republic of)","2063","Constant mortality","86980.569"
"Iran (Islamic Republic of)","2063","No change","87030.068"
"Iran (Islamic Republic of)","2063","Momentum","102044.846"
"Iran (Islamic Republic of)","2063","Instant replacement zero migration","112646.031"
"Iran (Islamic Republic of)","2063","Median PI","97270.729"
"Iran (Islamic Republic of)","2063","Upper 80 PI","104888.224"
"Iran (Islamic Republic of)","2063","Lower 80 PI","89878.556"
"Iran (Islamic Republic of)","2063","Upper 95 PI","109003.94"
"Iran (Islamic Republic of)","2063","Lower 95 PI","86018.814"
"Iran (Islamic Republic of)","2062","Medium","97611.375"
"Iran (Islamic Republic of)","2062","High","111009.481"
"Iran (Islamic Republic of)","2062","Low","85399.008"
"Iran (Islamic Republic of)","2062","Constant fertility","97640.03"
"Iran (Islamic Republic of)","2062","Instant replacement","110177.418"
"Iran (Islamic Republic of)","2062","Zero migration","99746.07"
"Iran (Islamic Republic of)","2062","Constant mortality","87662.041"
"Iran (Islamic Republic of)","2062","No change","87684.141"
"Iran (Islamic Republic of)","2062","Momentum","102237.109"
"Iran (Islamic Republic of)","2062","Instant replacement zero migration","112475.163"
"Iran (Islamic Republic of)","2062","Median PI","97611.375"
"Iran (Islamic Republic of)","2062","Upper 80 PI","104936.827"
"Iran (Islamic Republic of)","2062","Lower 80 PI","90428.995"
"Iran (Islamic Republic of)","2062","Upper 95 PI","108950.241"
"Iran (Islamic Republic of)","2062","Lower 95 PI","86667.859"
"Iran (Islamic Republic of)","2061","Medium","97925.201"
"Iran (Islamic Republic of)","2061","High","110792.211"
"Iran (Islamic Republic of)","2061","Low","86092.06"
"Iran (Islamic Republic of)","2061","Constant fertility","97928.033"
"Iran (Islamic Republic of)","2061","Instant replacement","110052.173"
"Iran (Islamic Republic of)","2061","Zero migration","99999.224"
"Iran (Islamic Republic of)","2061","Constant mortality","88323.087"
"Iran (Islamic Republic of)","2061","No change","88320.201"
"Iran (Islamic Republic of)","2061","Momentum","102411.08"
"Iran (Islamic Republic of)","2061","Instant replacement zero migration","112280.746"
"Iran (Islamic Republic of)","2061","Median PI","97925.201"
"Iran (Islamic Republic of)","2061","Upper 80 PI","104943.08"
"Iran (Islamic Republic of)","2061","Lower 80 PI","90918.078"
"Iran (Islamic Republic of)","2061","Upper 95 PI","108882.647"
"Iran (Islamic Republic of)","2061","Lower 95 PI","87273.738"
"Iran (Islamic Republic of)","2060","Medium","98210.621"
"Iran (Islamic Republic of)","2060","High","110558.08"
"Iran (Islamic Republic of)","2060","Low","86751.891"
"Iran (Islamic Republic of)","2060","Constant fertility","98190.352"
"Iran (Islamic Republic of)","2060","Instant replacement","109901.125"
"Iran (Islamic Republic of)","2060","Zero migration","100224.326"
"Iran (Islamic Republic of)","2060","Constant mortality","88960.249"
"Iran (Islamic Republic of)","2060","No change","88935.057"
"Iran (Islamic Republic of)","2060","Momentum","102563.407"
"Iran (Islamic Republic of)","2060","Instant replacement zero migration","112061.24"
"Iran (Islamic Republic of)","2060","Median PI","98210.62"
"Iran (Islamic Republic of)","2060","Upper 80 PI","104965.973"
"Iran (Islamic Republic of)","2060","Lower 80 PI","91428.589"
"Iran (Islamic Republic of)","2060","Upper 95 PI","108785.204"
"Iran (Islamic Republic of)","2060","Lower 95 PI","87914.131"
"Iran (Islamic Republic of)","2059","Medium","98465.614"
"Iran (Islamic Republic of)","2059","High","110306.587"
"Iran (Islamic Republic of)","2059","Low","87376.428"
"Iran (Islamic Republic of)","2059","Constant fertility","98425.372"
"Iran (Islamic Republic of)","2059","Instant replacement","109722.621"
"Iran (Islamic Republic of)","2059","Zero migration","100419.409"
"Iran (Islamic Republic of)","2059","Constant mortality","89569.928"
"Iran (Islamic Republic of)","2059","No change","89525.515"
"Iran (Islamic Republic of)","2059","Momentum","102690.89"
"Iran (Islamic Republic of)","2059","Instant replacement zero migration","111815.005"
"Iran (Islamic Republic of)","2059","Median PI","98465.614"
"Iran (Islamic Republic of)","2059","Upper 80 PI","105002.794"
"Iran (Islamic Republic of)","2059","Lower 80 PI","91905.335"
"Iran (Islamic Republic of)","2059","Upper 95 PI","108663.156"
"Iran (Islamic Republic of)","2059","Lower 95 PI","88625.164"
"Iran (Islamic Republic of)","2058","Medium","98686.361"
"Iran (Islamic Republic of)","2058","High","110034.894"
"Iran (Islamic Republic of)","2058","Low","87962.351"
"Iran (Islamic Republic of)","2058","Constant fertility","98631.526"
"Iran (Islamic Republic of)","2058","Instant replacement","109515.319"
"Iran (Islamic Republic of)","2058","Zero migration","100580.623"
"Iran (Islamic Republic of)","2058","Constant mortality","90146.739"
"Iran (Islamic Republic of)","2058","No change","90088.397"
"Iran (Islamic Republic of)","2058","Momentum","102790.64"
"Iran (Islamic Republic of)","2058","Instant replacement zero migration","111540.724"
"Iran (Islamic Republic of)","2058","Median PI","98686.361"
"Iran (Islamic Republic of)","2058","Upper 80 PI","104994.332"
"Iran (Islamic Republic of)","2058","Lower 80 PI","92340.27"
"Iran (Islamic Republic of)","2058","Upper 95 PI","108514.977"
"Iran (Islamic Republic of)","2058","Lower 95 PI","89296.855"
"Iran (Islamic Republic of)","2057","Medium","98870.205"
"Iran (Islamic Republic of)","2057","High","109741.564"
"Iran (Islamic Republic of)","2057","Low","88507.219"
"Iran (Islamic Republic of)","2057","Constant fertility","98807.302"
"Iran (Islamic Republic of)","2057","Instant replacement","109278.416"
"Iran (Islamic Republic of)","2057","Zero migration","100705.307"
"Iran (Islamic Republic of)","2057","Constant mortality","90686.443"
"Iran (Islamic Republic of)","2057","No change","90620.612"
"Iran (Islamic Republic of)","2057","Momentum","102860.303"
"Iran (Islamic Republic of)","2057","Instant replacement zero migration","111237.603"
"Iran (Islamic Republic of)","2057","Median PI","98870.205"
"Iran (Islamic Republic of)","2057","Upper 80 PI","104895.409"
"Iran (Islamic Republic of)","2057","Lower 80 PI","92760.673"
"Iran (Islamic Republic of)","2057","Upper 95 PI","108298.251"
"Iran (Islamic Republic of)","2057","Lower 95 PI","89811.803"
"Iran (Islamic Republic of)","2056","Medium","99014.787"
"Iran (Islamic Republic of)","2056","High","109425.219"
"Iran (Islamic Republic of)","2056","Low","89008.957"
"Iran (Islamic Republic of)","2056","Constant fertility","98951.075"
"Iran (Islamic Republic of)","2056","Instant replacement","109011.231"
"Iran (Islamic Republic of)","2056","Zero migration","100791.088"
"Iran (Islamic Republic of)","2056","Constant mortality","91185.395"
"Iran (Islamic Republic of)","2056","No change","91119.228"
"Iran (Islamic Republic of)","2056","Momentum","102897.893"
"Iran (Islamic Republic of)","2056","Instant replacement zero migration","110904.927"
"Iran (Islamic Republic of)","2056","Median PI","99014.787"
"Iran (Islamic Republic of)","2056","Upper 80 PI","104760.088"
"Iran (Islamic Republic of)","2056","Lower 80 PI","93136.542"
"Iran (Islamic Republic of)","2056","Upper 95 PI","108034.519"
"Iran (Islamic Republic of)","2056","Lower 95 PI","90312.875"
"Iran (Islamic Republic of)","2055","Medium","99119.582"
"Iran (Islamic Republic of)","2055","High","109086.305"
"Iran (Islamic Republic of)","2055","Low","89467.136"
"Iran (Islamic Republic of)","2055","Constant fertility","99061.273"
"Iran (Islamic Republic of)","2055","Instant replacement","108713.289"
"Iran (Islamic Republic of)","2055","Zero migration","100837.497"
"Iran (Islamic Republic of)","2055","Constant mortality","91641.916"
"Iran (Islamic Republic of)","2055","No change","91581.534"
"Iran (Islamic Republic of)","2055","Momentum","102901.799"
"Iran (Islamic Republic of)","2055","Instant replacement zero migration","110542.211"
"Iran (Islamic Republic of)","2055","Median PI","99119.582"
"Iran (Islamic Republic of)","2055","Upper 80 PI","104647.37"
"Iran (Islamic Republic of)","2055","Lower 80 PI","93481.679"
"Iran (Islamic Republic of)","2055","Upper 95 PI","107767.943"
"Iran (Islamic Republic of)","2055","Lower 95 PI","90779.214"
"Iran (Islamic Republic of)","2054","Medium","99182.264"
"Iran (Islamic Republic of)","2054","High","108722.807"
"Iran (Islamic Republic of)","2054","Low","89879.977"
"Iran (Islamic Republic of)","2054","Constant fertility","99136.702"
"Iran (Islamic Republic of)","2054","Instant replacement","108384.518"
"Iran (Islamic Republic of)","2054","Zero migration","100842.167"
"Iran (Islamic Republic of)","2054","Constant mortality","92052.506"
"Iran (Islamic Republic of)","2054","No change","92005.152"
"Iran (Islamic Republic of)","2054","Momentum","102870.766"
"Iran (Islamic Republic of)","2054","Instant replacement zero migration","110149.351"
"Iran (Islamic Republic of)","2054","Median PI","99182.264"
"Iran (Islamic Republic of)","2054","Upper 80 PI","104547.139"
"Iran (Islamic Republic of)","2054","Lower 80 PI","93769.739"
"Iran (Islamic Republic of)","2054","Upper 95 PI","107474.526"
"Iran (Islamic Republic of)","2054","Lower 95 PI","91200.909"
"Iran (Islamic Republic of)","2053","Medium","99201.18"
"Iran (Islamic Republic of)","2053","High","108333.129"
"Iran (Islamic Republic of)","2053","Low","90246.341"
"Iran (Islamic Republic of)","2053","Constant fertility","99176.533"
"Iran (Islamic Republic of)","2053","Instant replacement","108025.186"
"Iran (Islamic Republic of)","2053","Zero migration","100803.405"
"Iran (Islamic Republic of)","2053","Constant mortality","92414.444"
"Iran (Islamic Republic of)","2053","No change","92388.177"
"Iran (Islamic Republic of)","2053","Momentum","102803.974"
"Iran (Islamic Republic of)","2053","Instant replacement zero migration","109726.574"
"Iran (Islamic Republic of)","2053","Median PI","99201.18"
"Iran (Islamic Republic of)","2053","Upper 80 PI","104400.056"
"Iran (Islamic Republic of)","2053","Lower 80 PI","93999.453"
"Iran (Islamic Republic of)","2053","Upper 95 PI","107166.356"
"Iran (Islamic Republic of)","2053","Lower 95 PI","91554.567"
"Iran (Islamic Republic of)","2052","Medium","99177.563"
"Iran (Islamic Republic of)","2052","High","107918.273"
"Iran (Islamic Republic of)","2052","Low","90567.722"
"Iran (Islamic Republic of)","2052","Constant fertility","99180.303"
"Iran (Islamic Republic of)","2052","Instant replacement","107635.928"
"Iran (Islamic Republic of)","2052","Zero migration","100722.469"
"Iran (Islamic Republic of)","2052","Constant mortality","92728.03"
"Iran (Islamic Republic of)","2052","No change","92729.237"
"Iran (Islamic Republic of)","2052","Momentum","102701.115"
"Iran (Islamic Republic of)","2052","Instant replacement zero migration","109274.475"
"Iran (Islamic Republic of)","2052","Median PI","99177.563"
"Iran (Islamic Republic of)","2052","Upper 80 PI","104154.661"
"Iran (Islamic Republic of)","2052","Lower 80 PI","94196.676"
"Iran (Islamic Republic of)","2052","Upper 95 PI","106841.391"
"Iran (Islamic Republic of)","2052","Lower 95 PI","91827.245"
"Iran (Islamic Republic of)","2051","Medium","99112.4"
"Iran (Islamic Republic of)","2051","High","107478.199"
"Iran (Islamic Republic of)","2051","Low","90845.485"
"Iran (Islamic Republic of)","2051","Constant fertility","99147.952"
"Iran (Islamic Republic of)","2051","Instant replacement","107217.666"
"Iran (Islamic Republic of)","2051","Zero migration","100600.31"
"Iran (Islamic Republic of)","2051","Constant mortality","92993.488"
"Iran (Islamic Republic of)","2051","No change","93027.523"
"Iran (Islamic Republic of)","2051","Momentum","102562.356"
"Iran (Islamic Republic of)","2051","Instant replacement zero migration","108793.904"
"Iran (Islamic Republic of)","2051","Median PI","99112.4"
"Iran (Islamic Republic of)","2051","Upper 80 PI","103859.054"
"Iran (Islamic Republic of)","2051","Lower 80 PI","94336.045"
"Iran (Islamic Republic of)","2051","Upper 95 PI","106460.444"
"Iran (Islamic Republic of)","2051","Lower 95 PI","92060.663"
"Iran (Islamic Republic of)","2050","Medium","99007.204"
"Iran (Islamic Republic of)","2050","High","107012.963"
"Iran (Islamic Republic of)","2050","Low","91081.575"
"Iran (Islamic Republic of)","2050","Constant fertility","99079.884"
"Iran (Islamic Republic of)","2050","Instant replacement","106771.541"
"Iran (Islamic Republic of)","2050","Zero migration","100438.413"
"Iran (Islamic Republic of)","2050","Constant mortality","93211.721"
"Iran (Islamic Republic of)","2050","No change","93282.837"
"Iran (Islamic Republic of)","2050","Momentum","102388.198"
"Iran (Islamic Republic of)","2050","Instant replacement zero migration","108285.951"
"Iran (Islamic Republic of)","2050","Median PI","99007.204"
"Iran (Islamic Republic of)","2050","Upper 80 PI","103599.837"
"Iran (Islamic Republic of)","2050","Lower 80 PI","94444.419"
"Iran (Islamic Republic of)","2050","Upper 95 PI","106007.687"
"Iran (Islamic Republic of)","2050","Lower 95 PI","92254.488"
"Iran (Islamic Republic of)","2049","Medium","98865.529"
"Iran (Islamic Republic of)","2049","High","106524.918"
"Iran (Islamic Republic of)","2049","Low","91279.811"
"Iran (Islamic Republic of)","2049","Constant fertility","98976.63"
"Iran (Islamic Republic of)","2049","Instant replacement","106298.572"
"Iran (Islamic Republic of)","2049","Zero migration","100240.334"
"Iran (Islamic Republic of)","2049","Constant mortality","93386.167"
"Iran (Islamic Republic of)","2049","No change","93495.638"
"Iran (Islamic Republic of)","2049","Momentum","102179.569"
"Iran (Islamic Republic of)","2049","Instant replacement zero migration","107751.579"
"Iran (Islamic Republic of)","2049","Median PI","98865.528"
"Iran (Islamic Republic of)","2049","Upper 80 PI","103271.514"
"Iran (Islamic Republic of)","2049","Lower 80 PI","94500.895"
"Iran (Islamic Republic of)","2049","Upper 95 PI","105528.071"
"Iran (Islamic Republic of)","2049","Lower 95 PI","92379.615"
"Iran (Islamic Republic of)","2048","Medium","98688.811"
"Iran (Islamic Republic of)","2048","High","106014.452"
"Iran (Islamic Republic of)","2048","Low","91441.868"
"Iran (Islamic Republic of)","2048","Constant fertility","98839.648"
"Iran (Islamic Republic of)","2048","Instant replacement","105800.739"
"Iran (Islamic Republic of)","2048","Zero migration","100007.458"
"Iran (Islamic Republic of)","2048","Constant mortality","93517.972"
"Iran (Islamic Republic of)","2048","No change","93667.089"
"Iran (Islamic Republic of)","2048","Momentum","101938.158"
"Iran (Islamic Republic of)","2048","Instant replacement zero migration","107192.714"
"Iran (Islamic Republic of)","2048","Median PI","98688.812"
"Iran (Islamic Republic of)","2048","Upper 80 PI","102855.023"
"Iran (Islamic Republic of)","2048","Lower 80 PI","94550.134"
"Iran (Islamic Republic of)","2048","Upper 95 PI","105063.607"
"Iran (Islamic Republic of)","2048","Lower 95 PI","92512.777"
"Iran (Islamic Republic of)","2047","Medium","98479.032"
"Iran (Islamic Republic of)","2047","High","105482.344"
"Iran (Islamic Republic of)","2047","Low","91569.733"
"Iran (Islamic Republic of)","2047","Constant fertility","98670.921"
"Iran (Islamic Republic of)","2047","Instant replacement","105280.827"
"Iran (Islamic Republic of)","2047","Zero migration","99741.702"
"Iran (Islamic Republic of)","2047","Constant mortality","93608.974"
"Iran (Islamic Republic of)","2047","No change","93799.015"
"Iran (Islamic Republic of)","2047","Momentum","101666.571"
"Iran (Islamic Republic of)","2047","Instant replacement zero migration","106612.097"
"Iran (Islamic Republic of)","2047","Median PI","98479.032"
"Iran (Islamic Republic of)","2047","Upper 80 PI","102428.132"
"Iran (Islamic Republic of)","2047","Lower 80 PI","94602.801"
"Iran (Islamic Republic of)","2047","Upper 95 PI","104558.659"
"Iran (Islamic Republic of)","2047","Lower 95 PI","92665.358"
"Iran (Islamic Republic of)","2046","Medium","98240.506"
"Iran (Islamic Republic of)","2046","High","104931.086"
"Iran (Islamic Republic of)","2046","Low","91667.371"
"Iran (Islamic Republic of)","2046","Constant fertility","98472.652"
"Iran (Islamic Republic of)","2046","Instant replacement","104742.075"
"Iran (Islamic Republic of)","2046","Zero migration","99447.363"
"Iran (Islamic Republic of)","2046","Constant mortality","93663.561"
"Iran (Islamic Republic of)","2046","No change","93893.717"
"Iran (Islamic Republic of)","2046","Momentum","101368.128"
"Iran (Islamic Republic of)","2046","Instant replacement zero migration","106012.936"
"Iran (Islamic Republic of)","2046","Median PI","98240.506"
"Iran (Islamic Republic of)","2046","Upper 80 PI","101957.318"
"Iran (Islamic Republic of)","2046","Lower 80 PI","94590.852"
"Iran (Islamic Republic of)","2046","Upper 95 PI","103960.366"
"Iran (Islamic Republic of)","2046","Lower 95 PI","92764.819"
"Iran (Islamic Republic of)","2045","Medium","97981"
"Iran (Islamic Republic of)","2045","High","104364.57"
"Iran (Islamic Republic of)","2045","Low","91741.982"
"Iran (Islamic Republic of)","2045","Constant fertility","98247.622"
"Iran (Islamic Republic of)","2045","Instant replacement","104189.11"
"Iran (Islamic Republic of)","2045","Zero migration","99132.26"
